rules,support,confidence,coverage,lift,count
"{Pair=AUDNZD,Local Correct=1,Global Correct=0}",0.0348623853211009,0.730769230769231,0.0477064220183486,2.05293417922284,19
"{Pair=AUDNZD,Time=14}",0.018348623853211,0.714285714285714,0.0256880733944954,2.00662739322533,10
{Time=14},0.0220183486238532,0.705882352941177,0.0311926605504587,1.98302001212856,12
"{Pair=AUDNZD,Local Correct=1}",0.055045871559633,0.576923076923077,0.0954128440366973,1.62073750991277,30
"{Pair=GBPJPY,Local Correct=1,Global Correct=0}",0.0311926605504587,0.548387096774194,0.0568807339449541,1.54057199866977,17
"{Time=18,Global Correct=0}",0.0220183486238532,0.545454545454545,0.0403669724770642,1.53233364573571,12
"{Local Correct=1,Global Correct=0}",0.0972477064220184,0.519607843137255,0.187155963302752,1.45972306448353,53
{Time=4},0.018348623853211,0.5,0.036697247706422,1.40463917525773,10
"{Pair=AUDNZD,Global Correct=0}",0.0623853211009174,0.5,0.124770642201835,1.40463917525773,34
"{Pair=EURCAD,Local Correct=1,Global Correct=1}",0.0220183486238532,0.5,0.0440366972477064,1.40463917525773,12
"{Pair=GBPJPY,Local Correct=1}",0.0458715596330275,0.490196078431373,0.0935779816513762,1.37709723064484,25
{Local Correct=1},0.170642201834862,0.484375,0.352293577981651,1.36074420103093,93
{Time=18},0.0275229357798165,0.483870967741935,0.0568807339449541,1.35932823412039,15
"{Pair=EURCAD,Local Correct=1}",0.036697247706422,0.476190476190476,0.0770642201834862,1.33775159548355,20
"{Pair=XAUUSD,Time=5}",0.0201834862385321,0.458333333333333,0.0440366972477064,1.28758591065292,11
"{Time=5,Global Correct=0}",0.0238532110091743,0.448275862068966,0.0532110091743119,1.259331674369,13
"{Local Correct=1,Global Correct=1}",0.073394495412844,0.444444444444444,0.165137614678899,1.24856815578465,40
{Pair=AUDNZD},0.110091743119266,0.441176470588235,0.24954128440367,1.23938750758035,60
{Time=3},0.0201834862385321,0.44,0.0458715596330275,1.2360824742268,11
"{Pair=AUDNZD,Local Correct=1,Global Correct=1}",0.0201834862385321,0.423076923076923,0.0477064220183486,1.1885408406027,11
{Global Correct=0},0.190825688073395,0.392452830188679,0.486238532110092,1.10250923944758,104
"{Time=0,Global Correct=0}",0.018348623853211,0.384615384615385,0.0477064220183486,1.08049167327518,10
"{Pair=XAUUSD,Local Correct=1}",0.0330275229357798,0.382978723404255,0.0862385321100917,1.07589383636762,18
"{Pair=AUDNZD,Global Correct=1}",0.0477064220183486,0.382352941176471,0.124770642201835,1.07413583990297,26
"{Pair=GBPJPY,Global Correct=0}",0.0458715596330275,0.373134328358209,0.122935779816514,1.04823819049084,25
"{Pair=EURCAD,Global Correct=0}",0.0477064220183486,0.371428571428571,0.128440366972477,1.04344624447717,26
{Time=2},0.018348623853211,0.357142857142857,0.0513761467889908,1.00331369661267,10
"{Pair=AUDNZD,Local Correct=0}",0.055045871559633,0.357142857142857,0.154128440366972,1.00331369661267,30
"{Pair=AUDNZD,Local Correct=0,Global Correct=0}",0.0275229357798165,0.357142857142857,0.0770642201834862,1.00331369661267,15
"{Pair=AUDNZD,Local Correct=0,Global Correct=1}",0.0275229357798165,0.357142857142857,0.0770642201834862,1.00331369661267,15
{},0.355963302752294,0.355963302752294,1,1,194
"{Pair=XAUUSD,Global Correct=1}",0.0440366972477064,0.347826086956522,0.126605504587156,0.977140295831466,24
"{Pair=EURCAD,Local Correct=0,Global Correct=0}",0.0330275229357798,0.346153846153846,0.0954128440366973,0.972442505947661,18
{Time=5},0.0385321100917431,0.344262295081967,0.111926605504587,0.967128612472537,21
{Time=0},0.0348623853211009,0.333333333333333,0.104587155963303,0.936426116838488,19
{Pair=XAUUSD},0.0788990825688073,0.333333333333333,0.236697247706422,0.936426116838488,43
{Pair=EURCAD},0.0844036697247706,0.333333333333333,0.253211009174312,0.936426116838488,46
"{Time=5,Local Correct=0}",0.0238532110091743,0.325,0.073394495412844,0.913015463917526,13
{Global Correct=1},0.165137614678899,0.321428571428571,0.513761467889908,0.902982326951399,90
{Pair=GBPJPY},0.0825688073394495,0.316901408450704,0.260550458715596,0.890264266008422,45
"{Pair=XAUUSD,Global Correct=0}",0.0348623853211009,0.316666666666667,0.110091743119266,0.889604810996564,19
"{Local Correct=0,Global Correct=0}",0.0935779816513762,0.312883435582822,0.299082568807339,0.878976661817722,51
{Time=23},0.0220183486238532,0.307692307692308,0.0715596330275229,0.864393338620143,12
"{Pair=XAUUSD,Local Correct=0,Global Correct=1}",0.0275229357798165,0.306122448979592,0.0899082568807339,0.859983168525142,15
{Time=1},0.0201834862385321,0.305555555555556,0.0660550458715596,0.858390607101947,11
"{Pair=XAUUSD,Local Correct=0}",0.0458715596330275,0.304878048780488,0.15045871559633,0.856487301986422,25
"{Pair=XAUUSD,Local Correct=0,Global Correct=0}",0.018348623853211,0.303030303030303,0.0605504587155963,0.851296469853171,10
