"rules","support","confidence","coverage","lift","count"
"389","{Pair=AUDNZD,Time=13,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"390","{Pair=AUDNZD,Time=13,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"391","{Pair=AUDNZD,Time=15,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"392","{Pair=AUDNZD,Time=15,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"393","{Pair=GBPJPY,Time=15,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"394","{Pair=GBPJPY,Time=15,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"395","{Pair=XAUUSD,Time=9,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"396","{Pair=EURCAD,Time=9,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"397","{Pair=GBPJPY,Time=9,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"398","{Pair=XAUUSD,Time=8,Local Correct=1,Global Correct=0} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"399","{Pair=EURCAD,Time=8,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"400","{Pair=AUDNZD,Time=12,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"401","{Pair=AUDNZD,Time=12,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"402","{Pair=AUDNZD,Time=12,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"403","{Pair=EURCAD,Time=12,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"404","{Pair=XAUUSD,Time=21,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"405","{Pair=AUDNZD,Time=21,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"406","{Pair=AUDNZD,Time=21,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"407","{Pair=GBPJPY,Time=21,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"408","{Pair=AUDNZD,Time=17,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"409","{Pair=EURCAD,Time=17,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"410","{Pair=GBPJPY,Time=17,Local Correct=1,Global Correct=0} => {TP=1}",0.0055045871559633,1,0.0055045871559633,2.80927835051546,3
"411","{Pair=GBPJPY,Time=17,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"412","{Pair=GBPJPY,Time=17,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"413","{Pair=XAUUSD,Time=20,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"414","{Pair=AUDNZD,Time=20,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"415","{Pair=AUDNZD,Time=20,Local Correct=0,Global Correct=1} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"416","{Pair=EURCAD,Time=20,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"417","{Pair=GBPJPY,Time=20,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"418","{Pair=GBPJPY,Time=20,Local Correct=0,Global Correct=1} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"419","{Pair=XAUUSD,Time=22,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"420","{Pair=AUDNZD,Time=22,Local Correct=1,Global Correct=0} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"421","{Pair=EURCAD,Time=22,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"422","{Pair=GBPJPY,Time=22,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"423","{Pair=AUDNZD,Time=11,Local Correct=1,Global Correct=1} => {TP=1}",0.0055045871559633,1,0.0055045871559633,2.80927835051546,3
"424","{Pair=AUDNZD,Time=11,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"425","{Pair=AUDNZD,Time=11,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"426","{Pair=AUDNZD,Time=14,Local Correct=1,Global Correct=0} => {TP=1}",0.0055045871559633,1,0.0055045871559633,2.80927835051546,3
"427","{Pair=AUDNZD,Time=14,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"428","{Pair=AUDNZD,Time=14,Local Correct=0,Global Correct=0} => {TP=1}",0.0055045871559633,0.6,0.00917431192660551,1.68556701030928,3
"429","{Pair=AUDNZD,Time=14,Local Correct=0,Global Correct=1} => {TP=1}",0.0036697247706422,0.5,0.0073394495412844,1.40463917525773,2
"430","{Pair=EURCAD,Time=14,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"431","{Pair=GBPJPY,Time=14,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"432","{Pair=XAUUSD,Time=4,Local Correct=0,Global Correct=1} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"433","{Pair=AUDNZD,Time=4,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"434","{Pair=AUDNZD,Time=4,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"435","{Pair=EURCAD,Time=4,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"436","{Pair=EURCAD,Time=4,Local Correct=0,Global Correct=0} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"437","{Pair=EURCAD,Time=4,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"438","{Pair=GBPJPY,Time=4,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"439","{Pair=GBPJPY,Time=4,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"440","{Pair=XAUUSD,Time=19,Local Correct=1,Global Correct=0} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"441","{Pair=XAUUSD,Time=19,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"442","{Pair=AUDNZD,Time=19,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"443","{Pair=EURCAD,Time=19,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"444","{Pair=EURCAD,Time=19,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"445","{Pair=EURCAD,Time=19,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"446","{Pair=GBPJPY,Time=19,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"447","{Pair=AUDNZD,Time=3,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"448","{Pair=AUDNZD,Time=3,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"449","{Pair=EURCAD,Time=3,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"450","{Pair=EURCAD,Time=3,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"451","{Pair=EURCAD,Time=3,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"452","{Pair=EURCAD,Time=3,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"453","{Pair=GBPJPY,Time=3,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"454","{Pair=GBPJPY,Time=3,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"455","{Pair=XAUUSD,Time=2,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"456","{Pair=AUDNZD,Time=2,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"457","{Pair=AUDNZD,Time=2,Local Correct=0,Global Correct=1} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"458","{Pair=EURCAD,Time=2,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"459","{Pair=EURCAD,Time=2,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"460","{Pair=GBPJPY,Time=2,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"461","{Pair=GBPJPY,Time=2,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"462","{Pair=XAUUSD,Time=18,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"463","{Pair=XAUUSD,Time=18,Local Correct=0,Global Correct=1} => {TP=1}",0.0036697247706422,0.333333333333333,0.0110091743119266,0.936426116838488,2
"464","{Pair=AUDNZD,Time=18,Local Correct=1,Global Correct=0} => {TP=1}",0.0055045871559633,1,0.0055045871559633,2.80927835051546,3
"465","{Pair=AUDNZD,Time=18,Local Correct=0,Global Correct=0} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"466","{Pair=AUDNZD,Time=18,Local Correct=0,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"467","{Pair=EURCAD,Time=18,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
